Time,System Production (W)
06/04/2017 00:00,"0"
06/04/2017 00:15,"0"
06/04/2017 00:30,"0"
06/04/2017 00:45,"0"
06/04/2017 01:00,"0"
06/04/2017 01:15,"0"
06/04/2017 01:30,"0"
06/04/2017 01:45,"0"
06/04/2017 02:00,"0"
06/04/2017 02:15,"0"
06/04/2017 02:30,"0"
06/04/2017 02:45,"0"
06/04/2017 03:00,"0"
06/04/2017 03:15,"0"
06/04/2017 03:30,"0"
06/04/2017 03:45,"0"
06/04/2017 04:00,"0"
06/04/2017 04:15,"0"
06/04/2017 04:30,"0"
06/04/2017 04:45,"0"
06/04/2017 05:00,"0"
06/04/2017 05:15,"0"
06/04/2017 05:30,"0"
06/04/2017 05:45,"23"
06/04/2017 06:00,"38.6667"
06/04/2017 06:15,"64.8333"
06/04/2017 06:30,"73.8333"
06/04/2017 06:45,"106"
06/04/2017 07:00,"84.6667"
06/04/2017 07:15,"234.6667"
06/04/2017 07:30,"334"
06/04/2017 07:45,"141.3333"
06/04/2017 08:00,"79.8333"
06/04/2017 08:15,"119.6667"
06/04/2017 08:30,"191.3333"
06/04/2017 08:45,"194.3333"
06/04/2017 09:00,"74.3333"
06/04/2017 09:15,"60"
06/04/2017 09:30,"51.5"
06/04/2017 09:45,"60.8333"
06/04/2017 10:00,"80.5"
06/04/2017 10:15,"60.6667"
06/04/2017 10:30,"48.3333"
06/04/2017 10:45,"91"
06/04/2017 11:00,"79.3333"
06/04/2017 11:15,"105"
06/04/2017 11:30,"89.5"
06/04/2017 11:45,"122.1667"
06/04/2017 12:00,"124.8333"
06/04/2017 12:15,"95.6667"
06/04/2017 12:30,"36.6667"
06/04/2017 12:45,"106.3333"
06/04/2017 13:00,"208.6667"
06/04/2017 13:15,"240"
06/04/2017 13:30,"137"
06/04/2017 13:45,"267.8333"
06/04/2017 14:00,"359"
06/04/2017 14:15,"264"
06/04/2017 14:30,"174"
06/04/2017 14:45,"100"
06/04/2017 15:00,"111"
06/04/2017 15:15,"59.6667"
06/04/2017 15:30,"29.1667"
06/04/2017 15:45,"39.1667"
06/04/2017 16:00,"67"
06/04/2017 16:15,"66"
06/04/2017 16:30,"64.1667"
06/04/2017 16:45,"114.3333"
06/04/2017 17:00,"102.6667"
06/04/2017 17:15,"117.5"
06/04/2017 17:30,"79.5"
06/04/2017 17:45,"53.1667"
06/04/2017 18:00,"40.1667"
06/04/2017 18:15,"39.5"
06/04/2017 18:30,"18"
06/04/2017 18:45,"16.1667"
06/04/2017 19:00,"12.1667"
06/04/2017 19:15,"17.8333"
06/04/2017 19:30,"20"
06/04/2017 19:45,"1"
06/04/2017 20:00,"0"
06/04/2017 20:15,"0"
06/04/2017 20:30,"49.3333"
06/04/2017 20:45,"47.3333"
06/04/2017 21:00,"16.3333"
06/04/2017 21:15,"42.8333"
06/04/2017 21:30,"7.25"
06/04/2017 21:45,"0"
06/04/2017 22:00,"0"
06/04/2017 22:15,"0"
06/04/2017 22:30,"0"
06/04/2017 22:45,"0"
06/04/2017 23:00,"0"
06/04/2017 23:15,"0"
06/04/2017 23:30,"0"
06/04/2017 23:45,"0"
06/05/2017 00:00,"0"
06/05/2017 00:15,"0"
06/05/2017 00:30,"0"
06/05/2017 00:45,"0"
06/05/2017 01:00,"0"
06/05/2017 01:15,"0"
06/05/2017 01:30,"0"
06/05/2017 01:45,"0"
06/05/2017 02:00,"0"
06/05/2017 02:15,"0"
06/05/2017 02:30,"0"
06/05/2017 02:45,"0"
06/05/2017 03:00,"0"
06/05/2017 03:15,"0"
06/05/2017 03:30,"0"
06/05/2017 03:45,"0"
06/05/2017 04:00,"0"
06/05/2017 04:15,"0"
06/05/2017 04:30,"0"
06/05/2017 04:45,"0"
06/05/2017 05:00,"0"
06/05/2017 05:15,"0"
06/05/2017 05:30,"0"
06/05/2017 05:45,"0"
06/05/2017 06:00,"0"
06/05/2017 06:15,"25.1667"
06/05/2017 06:30,"53"
06/05/2017 06:45,"79"
06/05/2017 07:00,"169.8333"
06/05/2017 07:15,"206.3333"
06/05/2017 07:30,"245.8333"
06/05/2017 07:45,"329.5"
06/05/2017 08:00,"287.1667"
06/05/2017 08:15,"357.3333"
06/05/2017 08:30,"400.1667"
06/05/2017 08:45,"672.8333"
06/05/2017 09:00,"842.1667"
06/05/2017 09:15,"532.1667"
06/05/2017 09:30,"604.6667"
06/05/2017 09:45,"501"
06/05/2017 10:00,"648"
06/05/2017 10:15,"1249.1666"
06/05/2017 10:30,"1414.1666"
06/05/2017 10:45,"1313.5"
06/05/2017 11:00,"432.6667"
06/05/2017 11:15,"830.6667"
06/05/2017 11:30,"1332"
06/05/2017 11:45,"1291.8334"
06/05/2017 12:00,"1424.1666"
06/05/2017 12:15,"1431.8334"
06/05/2017 12:30,"1904.3334"
06/05/2017 12:45,"1370.8334"
06/05/2017 13:00,"618.8333"
