Date-Hour(NMT),FF,OT_1,PR,QSI,TA,UU
01.01.2017-00:00,0.6,0,1003.8,-7.4,0.1,97
01.01.2017-01:00,1.7,0,1003.5,-7.4,-0.2,98
01.01.2017-02:00,0.6,0,1003.4,-6.7,-1.2,99
01.01.2017-03:00,2.4,0,1003.3,-7.2,-1.3,99
01.01.2017-04:00,4,0,1003.1,-6.3,3.6,67
01.01.2017-05:00,1.4,0,1003.1,-6.8,1.5,74
01.01.2017-06:00,1.4,0,1003.7,-7,0.4,79
01.01.2017-07:00,1.3,0,1003.9,-7,-0.9,81
01.01.2017-08:00,0.6,0,1004.3,-6.6,-1,77
01.01.2017-09:00,0.6,0,1004.8,-6.5,-2,81
01.01.2017-10:00,0.4,0,1005.2,-0.8,-1.9,80
01.01.2017-11:00,1.1,46,1005.8,49.7,-0.2,74
01.01.2017-12:00,1.2,60,1006.1,138.7,1.8,72
01.01.2017-13:00,0.4,59,1006.1,121.6,2.7,66
01.01.2017-14:00,4,55,1006.5,77,5,49
01.01.2017-15:00,2.7,26,1007.6,33.1,4.8,48
01.01.2017-16:00,2.5,16,1008.5,-1.1,3.8,49
01.01.2017-17:00,3.8,0,1009.1,-7,3.2,50
01.01.2017-18:00,4.7,0,1010,-6.3,3.2,48
01.01.2017-19:00,4.2,0,1011.2,-6.2,2.8,48
01.01.2017-20:00,4.8,0,1012.2,-6,2.3,47
01.01.2017-21:00,3.3,0,1012.7,-6.6,1.5,48
01.01.2017-22:00,4,0,1013.1,-6.4,1.1,47
01.01.2017-23:00,2.6,0,1013.4,-6.6,0.5,48
02.01.2017-00:00,1.2,0,1013.6,-7.6,-2.1,61
02.01.2017-01:00,1.1,0,1013.3,-7.3,-3,65
02.01.2017-02:00,1,0,1013.3,-6.9,-3.1,66
02.01.2017-03:00,0.7,0,1013.4,-6.8,-3.4,66
02.01.2017-04:00,1.4,0,1013.2,-7.4,-3.4,62
02.01.2017-05:00,0.6,0,1013.2,-7,-3.4,65
02.01.2017-06:00,1.5,0,1012.8,-6.1,-2,58
02.01.2017-07:00,1.1,0,1012.5,-6.1,-3,64
02.01.2017-08:00,0.4,0,1012.2,-6.5,-3.3,67
02.01.2017-09:00,1.3,0,1012.2,-5.8,-3,67
02.01.2017-10:00,0.4,7,1012.3,6.4,-3,68
02.01.2017-11:00,1,9,1012.3,40.1,-2.3,67
02.01.2017-12:00,1,60,1012.1,71.3,-1,59
02.01.2017-13:00,1.5,60,1011.9,97.5,0.6,52
02.01.2017-14:00,1.1,60,1011.7,80,0.2,51
02.01.2017-15:00,1.6,60,1011.8,37,-0.2,50
02.01.2017-16:00,2.2,17,1011.9,0.7,-1,51
02.01.2017-17:00,1.4,0,1012,-6.1,-1.6,54
02.01.2017-18:00,0.7,0,1012.2,-6.9,-3.6,66
02.01.2017-19:00,1.5,0,1011.6,-6.8,-4.4,69
02.01.2017-20:00,1.3,0,1011.6,-7,-4.4,70
02.01.2017-21:00,1.4,0,1011.5,-6.9,-5.2,74
02.01.2017-22:00,0.6,0,1011.2,-6.6,-5.3,76
02.01.2017-23:00,0.7,0,1010.9,-6.1,-4.8,76
03.01.2017-00:00,1.3,0,1009.9,-6,-4.2,76
03.01.2017-01:00,1.9,0,1009.1,-6,-3.9,79
03.01.2017-02:00,0.6,0,1008.4,-5.6,-3.7,80
03.01.2017-03:00,0.7,0,1007.7,-5.8,-3.7,81
03.01.2017-04:00,0.8,0,1006.9,-6.2,-3.6,80
03.01.2017-05:00,1.6,0,1005.5,-6.9,-4,81
03.01.2017-06:00,0.4,0,1004.5,-6.1,-4.5,84
03.01.2017-07:00,0.1,0,1003.1,-6.1,-4.1,82
03.01.2017-08:00,0.3,0,1001.4,-6.4,-3.6,80
03.01.2017-09:00,0.5,0,1000.1,-5.5,-3.3,81
03.01.2017-10:00,0.7,0,998.4,-1.3,-3.2,82
03.01.2017-11:00,1.5,0,996.1,10.2,-2.4,80
03.01.2017-12:00,0.7,0,993.8,39.3,-2,78
03.01.2017-13:00,1.2,38,991.4,59.8,-1.5,79
03.01.2017-14:00,0.5,60,989.3,85.5,-0.8,79
03.01.2017-15:00,1.2,20,988.3,29.5,-1,78
03.01.2017-16:00,0.8,4,987.7,-0.6,-2.1,84
03.01.2017-17:00,1.3,0,987,-6.4,-2.4,84
03.01.2017-18:00,0.3,0,986.9,-7.2,-3.1,88
03.01.2017-19:00,4.2,0,986.5,-6.2,1.8,74
03.01.2017-20:00,0.7,0,986.7,-7.1,-1.7,73
03.01.2017-21:00,1,0,986.7,-7.5,-2.4,71
03.01.2017-22:00,1.8,0,986.4,-6.7,-2.2,70
03.01.2017-23:00,2.2,0,986.9,-6.3,-2.1,69
04.01.2017-00:00,3.1,0,986.9,-5.5,-1,63
04.01.2017-01:00,2.1,0,987.7,-6.4,-1.8,64
04.01.2017-02:00,4.2,0,989,-6.7,-1,62
04.01.2017-03:00,4.2,0,990.9,-6.4,-0.9,65
04.01.2017-04:00,5.3,0,993.2,-6,-0.7,65
04.01.2017-05:00,4.7,0,995.5,-6.2,-1.1,62
04.01.2017-06:00,2,0,997.4,-6.3,-1.8,65
04.01.2017-07:00,5.8,0,998.6,-6,-1.5,66
04.01.2017-08:00,4.8,0,1000.9,-5.8,-1,64
04.01.2017-09:00,5.5,0,1002.2,-5.1,-0.6,54
04.01.2017-10:00,8.8,0,1003.5,0.7,-1.2,42
04.01.2017-11:00,8.9,29,1004.7,37.6,-1.8,44
04.01.2017-12:00,7.4,42,1006.1,75.5,-2.1,45
04.01.2017-13:00,7.2,1,1007.9,33.7,-2.5,47
04.01.2017-14:00,7.8,0,1009.8,21.8,-3,60
04.01.2017-15:00,7.8,0,1011.4,15.7,-3.6,64
04.01.2017-16:00,6.1,0,1013.5,-0.5,-4,60
04.01.2017-17:00,6.4,0,1014.9,-5.3,-4,62
04.01.2017-18:00,7.3,0,1016.8,-5.6,-4.5,68
04.01.2017-19:00,5.2,0,1018.5,-5.5,-5.2,81
04.01.2017-20:00,4.7,0,1020.4,-5.1,-5.5,76
04.01.2017-21:00,4.8,0,1022.2,-5,-5.6,73
04.01.2017-22:00,4.7,0,1023.9,-4.8,-6.2,72
04.01.2017-23:00,1.9,0,1025.5,-5.9,-7.1,72
05.01.2017-00:00,2.9,0,1026.9,-5.9,-7.7,71
05.01.2017-01:00,2.7,0,1028.2,-6.2,-8.2,71
05.01.2017-02:00,1,0,1029.2,-6.7,-9.2,73
05.01.2017-03:00,1.2,0,1030.4,-6.6,-9.8,76
05.01.2017-04:00,2.5,0,1031,-6.9,-10,74
05.01.2017-05:00,2.2,0,1032.4,-6.5,-10,71
05.01.2017-06:00,1.3,0,1033.1,-6.2,-10.6,75
05.01.2017-07:00,0.8,0,1034,-5.9,-11.5,80
05.01.2017-08:00,1.5,0,1034.7,-6.2,-11.8,80
05.01.2017-09:00,2.4,0,1035.2,-6.7,-12.1,79
05.01.2017-10:00,2.3,26,1036,8.6,-11.4,76
05.01.2017-11:00,2.1,60,1036.6,56.1,-10.1,72
05.01.2017-12:00,0.4,60,1036.7,96.8,-9.5,71
05.01.2017-13:00,1.2,60,1036.9,106.7,-7.8,66
05.01.2017-14:00,1.3,39,1037.4,65.9,-8.4,70
05.01.2017-15:00,1.6,33,1037.9,22.3,-8.5,76
05.01.2017-16:00,1.6,3,1038,0.6,-8.9,74
05.01.2017-17:00,0.6,0,1038.1,-6.1,-10.1,81
05.01.2017-18:00,1.9,0,1038.3,-6.6,-10.8,83
05.01.2017-19:00,0.3,0,1038.6,-6.7,-10.4,82
05.01.2017-20:00,1.8,0,1038.5,-6.4,-10.9,83
05.01.2017-21:00,1.5,0,1038.7,-6.4,-11.1,83
05.01.2017-22:00,2,0,1038.9,-5.8,-10.8,83
05.01.2017-23:00,1.4,0,1038.5,-5.6,-10.6,81
06.01.2017-00:00,1.9,0,1038.3,-6.5,-11,83
06.01.2017-01:00,2.2,0,1037.8,-6,-11.6,85
06.01.2017-02:00,2.2,0,1037.3,-5.7,-11.4,85
06.01.2017-03:00,2.4,0,1036.5,-5.8,-11.6,85
06.01.2017-04:00,1.5,0,1036.4,-5.8,-11.9,85
06.01.2017-05:00,1.8,0,1036,-5.8,-12.2,85
06.01.2017-06:00,1.2,0,1035.7,-5.9,-12.4,84
06.01.2017-07:00,1.1,0,1035,-5.5,-11,84
06.01.2017-08:00,0.5,0,1034.5,-5.5,-10.6,90
06.01.2017-09:00,1.3,0,1033.9,-5.2,-10,89
06.01.2017-10:00,0.7,0,1033.6,5,-9.2,86
06.01.2017-11:00,1.2,0,1032.7,16.1,-6.2,86
06.01.2017-12:00,1.7,0,1031.9,16.2,-5,86
06.01.2017-13:00,2.4,0,1030.8,21,-4.5,89
06.01.2017-14:00,2.6,0,1030.1,15.1,-4.2,93
06.01.2017-15:00,5,0,1028.7,1.9,-2,94
06.01.2017-16:00,3.1,0,1028,-1.9,-1.7,93
06.01.2017-17:00,3.9,0,1027,-4.5,-1.3,94
06.01.2017-18:00,3.8,0,1025.5,-4.5,-0.9,95
06.01.2017-19:00,3.3,0,1024.4,-5,-0.4,97
06.01.2017-20:00,4.4,0,1022.6,-5,0.5,98
06.01.2017-21:00,5,0,1021.2,-4.4,1.4,96
06.01.2017-22:00,4.9,0,1020.1,-4.7,2.1,93
06.01.2017-23:00,4.4,0,1019.5,-4.5,2.5,90
07.01.2017-00:00,3.7,0,1019.1,-4.4,2.7,89
07.01.2017-01:00,3.7,0,1018.3,-4.6,2.8,90
07.01.2017-02:00,3.6,0,1017.4,-4.8,2.9,90
07.01.2017-03:00,2.8,0,1016.7,-5.1,2.9,93
07.01.2017-04:00,0.7,0,1016.3,-5.9,2.1,94
07.01.2017-05:00,0.5,0,1016.5,-7.1,1.1,96
07.01.2017-06:00,0.9,0,1016.6,-6.6,0.8,97
07.01.2017-07:00,2.9,0,1017,-6.2,0.6,97
07.01.2017-08:00,3.7,0,1017.9,-6.4,0.5,97
07.01.2017-09:00,1.8,0,1019.6,-6.3,-0.7,96
07.01.2017-10:00,1.8,0,1020.4,2.9,0.1,92
07.01.2017-11:00,2.6,0,1021.2,33.4,0.9,83
07.01.2017-12:00,1,0,1022,60,0.7,85
07.01.2017-13:00,0.4,60,1022.5,97.1,1.5,82
07.01.2017-14:00,1.1,60,1022.8,86.6,1.3,82
07.01.2017-15:00,1.4,30,1023.3,40.6,0.6,84
07.01.2017-16:00,0.6,0,1023.8,-0.5,-0.8,90
07.01.2017-17:00,1.6,0,1024.6,-6.9,-2,88
07.01.2017-18:00,1.5,0,1025.5,-7.1,-2.6,92
07.01.2017-19:00,1.1,0,1025.7,-6.7,-2.9,91
07.01.2017-20:00,1.2,0,1026.2,-7.2,-3.2,92
07.01.2017-21:00,1.2,0,1026.5,-6.7,-3.2,91
07.01.2017-22:00,0.6,0,1026.8,-4.6,-4.6,92
07.01.2017-23:00,1.3,0,1027.1,-6.4,-4.4,92
08.01.2017-00:00,1.4,0,1026.9,-6.2,-4.3,90
08.01.2017-01:00,1.6,0,1027,-7.1,-5.1,92
08.01.2017-02:00,1.6,0,1026.4,-7.1,-5.6,92
08.01.2017-03:00,0.8,0,1026.2,-6.3,-6.7,94
08.01.2017-04:00,0.9,0,1025.7,-5.7,-6,92
08.01.2017-05:00,1,0,1025,-5,-5,95
08.01.2017-06:00,0.9,0,1024.8,-4.6,-4.6,96
08.01.2017-07:00,0.5,0,1024.3,-5.1,-3.9,98
08.01.2017-08:00,1.1,0,1024.1,-4.6,-3.6,97
08.01.2017-09:00,0.8,0,1023.9,-4.8,-3.4,98
08.01.2017-10:00,0.8,0,1023.4,-1.7,-2.9,97
08.01.2017-11:00,1.2,0,1023,7.7,-2.9,98
08.01.2017-12:00,0.8,0,1023.2,22.7,-2.7,98
08.01.2017-13:00,0.5,0,1022.7,52.1,-2,98
08.01.2017-14:00,0.9,0,1021.9,53.4,-1.9,96
08.01.2017-15:00,0.9,0,1021.4,19.2,-1.8,96
08.01.2017-16:00,1.1,0,1021.5,-1.8,-1.7,96
08.01.2017-17:00,0.4,0,1021.2,-6.4,-2,94
08.01.2017-18:00,1.2,0,1020.9,-6.9,-2.4,94
08.01.2017-19:00,0.7,0,1020.7,-6.4,-2.6,96
08.01.2017-20:00,0.8,0,1020.1,-6.4,-2.8,96
08.01.2017-21:00,0.6,0,1019.9,-6,-2.6,97
08.01.2017-22:00,0.1,0,1019.9,-6,-2.4,97
08.01.2017-23:00,1.6,0,1019.5,-5.4,-2.2,98
09.01.2017-00:00,1.1,0,1019.6,-5.8,-2.6,97
09.01.2017-01:00,0.7,0,1019.5,-6.3,-2.6,97
09.01.2017-02:00,1.8,0,1019.4,-6.4,-2.7,95
09.01.2017-03:00,2.5,0,1018.4,-5.8,-1.9,94
09.01.2017-04:00,1.6,0,1017.6,-5.8,-2.4,94
09.01.2017-05:00,0.5,0,1017.1,-6.7,-2.7,96
09.01.2017-06:00,0.9,0,1016.5,-6.2,-2.6,96
09.01.2017-07:00,0.4,0,1015.6,-5.3,-1.8,95
09.01.2017-08:00,1.1,0,1015,-5.8,-1.3,96
09.01.2017-09:00,0.7,0,1014.5,-5.1,-0.4,98
09.01.2017-10:00,1.5,0,1013.8,-0.6,-0.4,98
09.01.2017-11:00,0.9,0,1013.4,8.7,-0.1,99
09.01.2017-12:00,1.1,0,1012.5,16.1,0.2,99
09.01.2017-13:00,0.9,0,1011.7,20.9,0.3,99
09.01.2017-14:00,0.6,0,1010.7,15.7,0.6,99
09.01.2017-15:00,1.2,0,1009.8,3.2,1.2,99
09.01.2017-16:00,0.6,0,1009.5,-3.3,1.6,99
09.01.2017-17:00,1.8,0,1008.9,-5,2.1,99
09.01.2017-18:00,0.6,0,1007.7,-5.4,2.4,99
09.01.2017-19:00,1.3,0,1007.2,-5.8,2.6,99
09.01.2017-20:00,3.1,0,1006.7,-6.2,3.8,99
09.01.2017-21:00,4.6,0,1006.1,-5.3,4.5,100
09.01.2017-22:00,5.3,0,1005.9,-4.5,4.3,99
09.01.2017-23:00,4.5,0,1005.4,-4.7,4.1,98
10.01.2017-00:00,4.6,0,1005.1,-4.9,3.9,97
10.01.2017-01:00,4.2,0,1004.6,-5,3.8,97
10.01.2017-02:00,3.9,0,1004.4,-4.7,3.5,96
10.01.2017-03:00,4,0,1004.1,-4.9,3.2,95
10.01.2017-04:00,3.7,0,1003.8,-4.7,2.8,96
10.01.2017-05:00,3.7,0,1003.5,-4.8,2.4,96
10.01.2017-06:00,4.1,0,1003.3,-4.8,2.1,96
10.01.2017-07:00,3.8,0,1003.3,-4.6,2,96
10.01.2017-08:00,3,0,1003.5,-4.8,1.9,96
10.01.2017-09:00,2.9,0,1003.6,-4.8,1.7,96
10.01.2017-10:00,2.7,0,1003.3,-1.9,1.6,95
10.01.2017-11:00,4.4,0,1003.2,23,1.7,94
10.01.2017-12:00,4.3,0,1002.8,16.1,1.6,94
10.01.2017-13:00,3.8,0,1002.1,14,1.5,95
10.01.2017-14:00,3.2,0,1001.5,6.1,1.4,95
10.01.2017-15:00,3.8,0,1001.1,-1.1,1.3,95
10.01.2017-16:00,3.2,0,1000.7,-3.5,1.6,96
10.01.2017-17:00,3,0,1000,-3.7,2.1,96
10.01.2017-18:00,3.7,0,999.7,-3.9,2.9,97
10.01.2017-19:00,3,0,999.4,-4.8,3.1,97
10.01.2017-20:00,3.4,0,998.8,-5.2,3.5,94
10.01.2017-21:00,4.9,0,997.9,-5.1,3.8,94
10.01.2017-22:00,6.1,0,996.8,-4.7,3.6,94
10.01.2017-23:00,6.1,0,995.2,-4.4,3.8,96
11.01.2017-00:00,6.4,0,994.4,-4.1,4.7,96
11.01.2017-01:00,5.7,0,993.1,-4.6,4.9,96
11.01.2017-02:00,5.7,0,991.7,-4.6,5.2,89
11.01.2017-03:00,6.5,0,990.4,-4.7,5.3,88
11.01.2017-04:00,4.8,0,989.4,-4.8,5.2,91
11.01.2017-05:00,5.5,0,987.5,-4.4,5.2,89
11.01.2017-06:00,7.3,0,985.5,-4.3,5,89
11.01.2017-07:00,6.6,0,983.6,-4.5,4.6,92
11.01.2017-08:00,7.9,0,981.4,-3.7,4.1,92
11.01.2017-09:00,8.5,0,979.2,-3.7,3.6,91
11.01.2017-10:00,4.2,0,977.1,-2.3,2.6,93
11.01.2017-11:00,3.8,0,974.5,3.6,1.6,93
11.01.2017-12:00,4,0,971.5,17.5,1.6,92
11.01.2017-13:00,3.2,0,969.2,10.1,1.5,93
11.01.2017-14:00,3.6,0,967.6,8.7,2.5,94
11.01.2017-15:00,3.4,0,966.3,1.4,2.5,92
11.01.2017-16:00,3.5,0,965.9,-3,1.8,92
11.01.2017-17:00,3,0,966.2,-5.3,1.7,94
11.01.2017-18:00,2.5,0,966.9,-6,2.1,88
11.01.2017-19:00,1.7,0,968,-6.5,1.3,94
11.01.2017-20:00,1.8,0,969,-6,2.1,87
11.01.2017-21:00,0.8,0,970.3,-6.7,0.9,95
11.01.2017-22:00,1.4,0,971.4,-6.1,0.9,96
11.01.2017-23:00,3.3,0,972.3,-5.6,2.5,74
12.01.2017-00:00,2.2,0,973.7,-5.8,2,74
12.01.2017-01:00,2.9,0,974.5,-6.1,2.1,72
12.01.2017-02:00,3.7,0,974.7,-6.6,1.6,71
12.01.2017-03:00,4,0,974.7,-6.6,0.6,77
12.01.2017-04:00,3.7,0,975.2,-6.6,0.5,73
12.01.2017-05:00,2.1,0,975,-6.4,0.4,77
12.01.2017-06:00,1.1,0,974.6,-6.2,0.2,80
12.01.2017-07:00,1.8,0,974.3,-6.4,0.3,82
12.01.2017-08:00,1.3,0,974.9,-6.7,0.2,85
12.01.2017-09:00,2.2,0,975.5,-6,0.3,84
12.01.2017-10:00,0.8,0,975.9,3.9,-0.2,89
12.01.2017-11:00,1.2,0,976,29.4,0.5,82
12.01.2017-12:00,1.6,0,976.7,51.5,0.9,80
12.01.2017-13:00,1.8,0,976.5,58,1.3,79
12.01.2017-14:00,1.8,25,976.7,93.8,2.2,76
12.01.2017-15:00,3.3,0,976.9,13,1.9,78
12.01.2017-16:00,1.8,22,977.1,1.7,2.1,75
12.01.2017-17:00,1.6,0,977.5,-6.2,0.9,78
12.01.2017-18:00,1,0,977.7,-6.4,1,78
12.01.2017-19:00,1.6,0,978.1,-7.2,0.8,77
12.01.2017-20:00,2.7,0,978.4,-6,0.9,76
12.01.2017-21:00,1.4,0,979.1,-5.7,0.9,75
12.01.2017-22:00,3.8,0,979.6,-5.8,1.3,72
12.01.2017-23:00,3.2,0,980.1,-5.7,1.6,68
13.01.2017-00:00,2.2,0,980.4,-5.6,1.4,69
13.01.2017-01:00,0.5,0,980.9,-6.3,0.2,75
13.01.2017-02:00,0.8,0,981.7,-7.3,-1.2,81
13.01.2017-03:00,2.2,0,982.4,-7.5,-1.2,80
13.01.2017-04:00,0.2,0,982.7,-7,-1.8,79
13.01.2017-05:00,1,0,983.3,-7.8,-2.6,86
13.01.2017-06:00,1.9,0,983.9,-7.7,-3.1,87
13.01.2017-07:00,1.8,0,984.3,-7.3,-3.7,89
13.01.2017-08:00,0.8,0,985.3,-7.6,-4.2,89
13.01.2017-09:00,1.2,0,986.1,-6.2,-4.5,90
13.01.2017-10:00,1.5,31,986.7,11.7,-4.3,89
13.01.2017-11:00,2.4,60,987,64.1,-2.4,83
13.01.2017-12:00,1.3,60,987.3,111.5,-1,78
13.01.2017-13:00,1.5,60,987.6,124,-0.7,79
13.01.2017-14:00,0.2,60,988,103.6,-1,76
13.01.2017-15:00,1.3,60,988.2,56.2,-1.1,78
13.01.2017-16:00,0.6,33,988.7,6.7,-2.5,85
13.01.2017-17:00,1.3,0,989.3,-6.7,-3.3,87
13.01.2017-18:00,1.4,0,989.8,-7,-3.9,88
13.01.2017-19:00,2.9,0,990.3,-7.3,-4.2,87
13.01.2017-20:00,2.1,0,990.5,-7.1,-4.4,86
13.01.2017-21:00,0.6,0,990.9,-7.3,-5.3,89
13.01.2017-22:00,0.3,0,991.3,-6.5,-5.4,89
13.01.2017-23:00,0.1,0,991.8,-6.4,-5.3,92
14.01.2017-00:00,0.5,0,992.1,-6.9,-5.7,91
14.01.2017-01:00,0.9,0,992.3,-6.9,-5.6,91
14.01.2017-02:00,1.4,0,992.9,-7,-6.2,93
14.01.2017-03:00,1,0,993.2,-6.9,-6.2,91
14.01.2017-04:00,0.2,0,993.7,-7.1,-6.6,93
14.01.2017-05:00,0.3,0,994.1,-6.7,-5.7,91
14.01.2017-06:00,0.4,0,994.8,-6.3,-5.7,92
14.01.2017-07:00,0.2,0,995.4,-5.6,-4.4,90
14.01.2017-08:00,0.8,0,996.2,-5.7,-3.4,88
14.01.2017-09:00,1.2,0,996.9,-5.4,-3,88
